Food,Carbs,Calories,Protein,Fat
"Alcoholic Beverage, wine, table, red, Petite Sirah",2.68,220.5,0.07,0.0
"Alcoholic Beverage, wine, table, red, Pinot Noir",2.31,211.5,0.07,0.0
"Alcoholic Beverage, wine, table, red, Sangiovese",2.62,222.5,0.07,0.0
"Alcoholic Beverage, wine, table, red, Syrah",2.58,215.5,0.07,0.0
"Alcoholic Beverage, wine, table, red, Zinfandel",2.86,228.5,0.07,0.0
"Alcoholic beverage, beer, light",1.64,76.0,0.24,0.0
"Alcoholic beverage, beer, light, BUD LIGHT",1.3,76.0,0.25,0.0
"Alcoholic beverage, beer, light, BUDWEISER SELECT",0.87,72.5,0.2,0.0
"Alcoholic beverage, beer, light, higher alcohol",0.77,118.5,0.25,0.0
"Alcoholic beverage, beer, light, low carb",0.73,69.5,0.17,0.0
"Alcoholic beverage, beer, regular, BUDWEISER",2.97,105.5,0.36,0.0
"Alcoholic beverage, beer, regular, all",3.55,112.0,0.46,0.0
"Alcoholic beverage, creme de menthe, 72 proof",41.6,961.5,0.0,0.3
"Alcoholic beverage, daiquiri, canned",15.7,324.0,0.0,0.0
"Alcoholic beverage, daiquiri, prepared-from-recipe",6.94,481.5,0.06,0.06
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",0.0,764.5,0.0,0.0
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",0.0,599.0,0.0,0.0
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",0.1,648.0,0.0,0.0
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",0.0,681.5,0.0,0.0
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",0.0,713.0,0.0,0.0
"Alcoholic beverage, distilled, rum, 80 proof",0.0,599.0,0.0,0.0
"Alcoholic beverage, distilled, vodka, 80 proof",0.0,599.0,0.0,0.0
"Alcoholic beverage, distilled, whiskey, 86 proof",0.1,648.0,0.0,0.0
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",20.9,847.5,2.8,15.7
"Alcoholic beverage, liqueur, coffee, 53 proof",46.8,871.0,0.1,0.3
"Alcoholic beverage, liqueur, coffee, 63 proof",32.2,798.5,0.1,0.3
"Alcoholic beverage, malt beer, hard lemonade",10.07,176.0,0.0,0.0
"Alcoholic beverage, pina colada, canned",27.6,614.5,0.6,7.6
"Alcoholic beverage, pina colada, prepared-from-recipe",22.66,451.0,0.42,1.88
"Alcoholic beverage, rice (sake)",5.0,347.5,0.5,0.0
"Alcoholic beverage, tequila sunrise, canned",11.3,285.0,0.3,0.1
"Alcoholic beverage, whiskey sour",13.17,386.0,0.0,0.03
"Alcoholic beverage, whiskey sour, canned",13.4,308.5,0.0,0.0
"Alcoholic beverage, whiskey sour, prepared from item 14028",12.82,395.5,0.06,0.06
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",15.85,424.0,0.1,0.02
"Alcoholic beverage, wine, cooking",6.3,129.5,0.5,0.0
"Alcoholic beverage, wine, dessert, dry",11.67,395.0,0.2,0.0
"Alcoholic beverage, wine, dessert, sweet",13.69,415.5,0.2,0.0
"Alcoholic beverage, wine, light",1.17,127.5,0.07,0.0
"Alcoholic beverage, wine, table, all",2.72,215.0,0.07,0.0
"Alcoholic beverage, wine, table, red",2.61,220.5,0.07,0.0
"Alcoholic beverage, wine, table, white",2.6,212.0,0.07,0.0
"Alcoholic beverage, wine, table, white, Chardonnay",2.16,217.5,0.07,0.0
"Alcoholic beverage, wine, table, white, Chenin Blanc",3.31,207.0,0.07,0.0
"Alcoholic beverage, wine, table, white, Fume Blanc",2.27,212.5,0.07,0.0
"Alcoholic beverage, wine, table, white, Gewurztraminer",2.6,209.0,0.07,0.0
"Alcoholic beverage, wine, table, white, Muller Thurgau",3.48,197.5,0.07,0.0
"Alcoholic beverage, wine, table, white, Muscat",5.23,212.0,0.07,0.0
"Alcoholic beverage, wine, table, white, Pinot Blanc",1.94,210.5,0.07,0.0
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",2.06,214.5,0.07,0.0
"Alcoholic beverage, wine, table, white, Riesling",3.74,208.5,0.07,0.0
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",2.05,210.5,0.07,0.0
"Alcoholic beverage, wine, table, white, Semillon",3.12,213.0,0.07,0.0
"Alcoholic beverage, wine, table, white, late harvest",13.39,289.5,0.07,0.0
"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",11.39,279.5,0.07,0.0
"Alcoholic beverages, beer, higher alcohol",0.27,150.5,0.9,0.0
"Alcoholic beverages, wine, rose",3.8,215.5,0.36,0.0
"Alfalfa seeds, sprouted, raw",2.1,59.5,3.99,0.69
"Amaranth grain, cooked",18.69,265.5,3.8,1.58
"Amaranth grain, uncooked",65.25,962.5,13.56,7.02
"Amaranth leaves, cooked, boiled, drained, with salt",4.11,54.5,2.11,0.18
"Amaranth leaves, cooked, boiled, drained, without salt",4.11,54.5,2.11,0.18
"Amaranth leaves, raw",4.02,60.0,2.46,0.33
"Andrea's, Gluten Free Soft Dinner Roll",40.24,667.0,5.65,8.2
"Animal fat, bacon grease",0.0,2325.0,0.0,99.5
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",11.3,118.5,0.1,0.13
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",11.49,124.5,0.12,0.17
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",11.3,118.5,0.1,0.13
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",11.54,122.0,0.14,0.1
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",11.54,122.0,0.14,0.1
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",41.0,430.5,0.51,0.37
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",41.0,430.5,0.51,0.37
"Apples, canned, sweetened, sliced, drained, heated",16.84,173.5,0.18,0.43
"Apples, dehydrated (low moisture), sulfured, stewed",19.91,192.0,0.28,0.12
"Apples, dehydrated (low moisture), sulfured, uncooked",93.53,897.0,1.32,0.58
"Apples, dried, sulfured, stewed, with added sugar",20.73,215.0,0.2,0.07
"Apples, dried, sulfured, stewed, without added sugar",15.32,147.5,0.22,0.07
"Apples, dried, sulfured, uncooked",65.89,630.0,0.93,0.32
"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",12.0,122.0,0.29,0.33
"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",12.31,124.5,0.28,0.32
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",15.22,164.0,0.2,0.18
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",13.68,147.0,0.25,0.12
"Apples, raw, golden delicious, with skin",13.6,147.5,0.28,0.15
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",13.61,150.0,0.44,0.19
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",14.06,153.0,0.27,0.2
"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",13.81,135.0,0.26,0.17
"Apples, raw, without skin",12.76,124.0,0.27,0.13
"Apples, raw, without skin, cooked, boiled",13.64,137.5,0.26,0.36
"Apples, raw, without skin, cooked, microwave",14.41,145.0,0.28,0.42
"Applesauce, canned, sweetened, with salt",19.91,197.0,0.18,0.18
"Applesauce, canned, sweetened, without salt",17.49,175.5,0.16,0.17
"Applesauce, canned, unsweetened, with added ascorbic acid",11.27,109.0,0.17,0.1
"Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)",11.27,109.0,0.17,0.1
"Apricot nectar, canned, with added ascorbic acid",13.63,145.0,0.17,0.45
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",24.85,249.0,0.55,0.04
"Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program)",12.5,127.0,0.6,0.1
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",21.47,215.0,0.53,0.08
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",21.45,215.0,0.51,0.09
"Apricots, canned, heavy syrup, drained",21.31,215.0,0.64,0.11
"Apricots, canned, juice pack, with skin, solids and liquids",12.34,124.5,0.63,0.04
"Apricots, canned, light syrup pack, with skin, solids and liquids",16.49,163.5,0.53,0.05
"Apricots, canned, water pack, with skin, solids and liquids",6.39,70.0,0.71,0.16
"Apricots, canned, water pack, without skin, solids and liquids",5.48,57.0,0.69,0.03
"Apricots, dehydrated (low-moisture), sulfured, stewed",32.62,326.5,1.93,0.24
"Apricots, dehydrated (low-moisture), sulfured, uncooked",82.89,829.5,4.9,0.62
"Apricots, dried, sulfured, stewed, with added sugar",29.26,293.0,1.17,0.15
"Apricots, dried, sulfured, stewed, without added sugar",22.15,221.0,1.2,0.18
"Apricots, dried, sulfured, uncooked",62.64,625.0,3.39,0.51
"Apricots, frozen, sweetened",25.1,254.0,0.7,0.1
"Apricots, raw",11.12,124.5,1.4,0.39
"Archway Home Style Cookies, Chocolate Chip Ice Box",65.02,1288.0,4.28,24.4
"Archway Home Style Cookies, Coconut Macaroon",61.23,1192.0,3.02,22.55
"Archway Home Style Cookies, Date Filled Oatmeal",68.16,1036.5,4.67,12.05
"Archway Home Style Cookies, Dutch Cocoa",69.44,1116.5,4.5,14.99
"Archway Home Style Cookies, Frosty Lemon",64.78,1114.5,4.41,17.11
"Archway Home Style Cookies, Iced Molasses",69.12,1089.5,3.5,14.43
"Archway Home Style Cookies, Iced Oatmeal",66.76,1128.5,4.89,16.53
"Archway Home Style Cookies, Molasses",69.41,1045.0,4.25,12.06
"Archway Home Style Cookies, Oatmeal",68.17,1092.0,5.48,14.08
"Archway Home Style Cookies, Oatmeal Raisin",69.27,1053.5,5.17,12.08
"Archway Home Style Cookies, Old Fashioned Molasses",70.55,1052.0,4.27,11.83
"Archway Home Style Cookies, Old Fashioned Windmill Cookies",72.23,1212.0,5.17,17.55
"Archway Home Style Cookies, Peanut Butter",58.48,1244.0,9.0,24.28
"Archway Home Style Cookies, Raspberry Filled",65.92,1037.5,4.35,13.26
"Archway Home Style Cookies, Reduced Fat Ginger Snaps",76.23,1098.5,4.67,11.14
"Archway Home Style Cookies, Strawberry Filled",65.92,1037.5,4.35,13.26
"Archway Home Style Cookies, Sugar Free Oatmeal",67.2,1145.5,5.54,20.92
"Arrowhead, cooked, boiled, drained, with salt",16.14,202.0,4.49,0.1
"Arrowhead, cooked, boiled, drained, without salt",16.14,202.0,4.49,0.1
"Arrowhead, raw",20.23,256.5,5.33,0.29
Arrowroot flour,88.15,925.5,0.3,0.1
"Arrowroot, raw",13.39,168.0,4.24,0.2
"Artichokes, (globe or french), cooked, boiled, drained, with salt",11.39,131.0,2.89,0.34
"Artichokes, (globe or french), cooked, boiled, drained, without salt",11.95,136.5,2.89,0.34
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",9.18,116.5,3.11,0.5
"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",9.18,116.5,3.11,0.5
"Artichokes, (globe or french), frozen, unprepared",7.75,98.0,2.63,0.43
"Artichokes, (globe or french), raw",10.51,122.0,3.27,0.15
"Artificial Blueberry Muffin Mix, dry",77.45,1055.0,4.7,8.7
"Arugula, raw",3.65,65.0,2.58,0.66
Ascidians (tunughnak) (Alaska Native),0.0,51.0,3.8,0.5
"Asparagus, canned, drained solids",2.46,50.0,2.14,0.65
"Asparagus, canned, no salt added, solids and liquids",2.48,38.5,1.8,0.18
"Asparagus, canned, regular pack, solids and liquids",2.48,38.5,1.8,0.18
"Asparagus, cooked, boiled, drained",4.11,58.0,2.4,0.22
"Asparagus, cooked, boiled, drained, with salt",4.11,58.0,2.4,0.22
"Asparagus, frozen, cooked, boiled, drained, with salt",1.92,46.0,2.95,0.42
"Asparagus, frozen, cooked, boiled, drained, without salt",1.92,46.0,2.95,0.42
"Asparagus, frozen, unprepared",4.1,62.0,3.23,0.23
"Asparagus, raw",3.88,52.5,2.2,0.12
"Avocados, raw, California",8.64,432.0,1.96,15.41
"Avocados, raw, Florida",7.82,310.5,2.23,10.06
"Avocados, raw, all commercial varieties",8.53,415.0,2.0,14.66
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",6.96,402.5,6.89,11.1
"BURGER KING, CROISSAN'WICH with Egg and Cheese",24.79,732.5,10.35,15.78
"BURGER KING, CROISSAN'WICH with Sausage and Cheese",23.0,974.5,13.73,25.45
"BURGER KING, CROISSAN'WICH with Sausage, Egg and Cheese",15.9,798.5,12.09,21.78
"BURGER KING, Cheeseburger",23.71,742.0,14.57,14.81
"BURGER KING, Chicken Strips",20.49,757.0,18.2,15.25
"BURGER KING, DOUBLE WHOPPER, no cheese",13.74,652.5,13.94,15.66
"BURGER KING, DOUBLE WHOPPER, with cheese",13.52,688.5,14.47,17.06
"BURGER KING, Double Cheeseburger",17.43,731.5,16.83,16.13
"BURGER KING, Hamburger",26.76,677.5,14.85,10.55
"BURGER KING, Hash Brown Rounds",29.37,783.5,2.8,19.3
"BURGER KING, Onion Rings",43.58,1080.5,3.86,25.23
"BURGER KING, Original Chicken Sandwich",26.22,740.5,12.14,14.69
"BURGER KING, Premium Fish Sandwich",26.69,674.0,10.29,12.45
"BURGER KING, Vanilla Shake",19.03,434.5,3.19,8.74
"BURGER KING, WHOPPER, no cheese",18.55,603.5,10.74,12.84
"BURGER KING, WHOPPER, with cheese",16.7,647.0,11.19,15.33
"BURGER KING, french fries",38.7,726.0,3.23,12.48
"BURGER KING, french toast sticks",41.21,903.5,6.0,17.74
"Babyfood, Baby MUM MUM Rice Biscuits",83.21,1013.0,12.5,0.87
"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",14.82,165.0,1.1,0.0
"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",12.88,124.5,0.47,0.0
"Babyfood, GERBER, Banana with orange medley",20.41,178.0,1.06,0.0
"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",72.48,1055.0,7.97,9.27
"Babyfood, Multigrain whole grain cereal, dry fortified",80.06,1054.5,6.67,6.67
"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",61.59,1305.0,0.0,28.57
"Babyfood, apple yogurt dessert, strained",19.5,241.0,0.8,1.6
"Babyfood, apple-banana juice",12.3,132.0,0.2,0.1
"Babyfood, apples with ham, strained",10.9,160.5,2.6,0.9
"Babyfood, apples, dices, toddler",11.56,130.0,0.19,0.36
"Babyfood, baked product, finger snacks cereal fortified",76.68,1092.0,6.4,9.9
"Babyfood, banana apple dessert, strained",16.3,176.5,0.3,0.2
"Babyfood, banana juice with low fat yogurt",17.54,222.0,2.5,0.8
"Babyfood, banana no tapioca, strained",21.34,236.0,1.0,0.2
"Babyfood, banana with mixed berries, strained",21.31,238.5,1.01,0.36
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",7.35,76.0,0.0,0.0
"Babyfood, carrots and beef, strained",5.7,153.0,3.4,2.5
"Babyfood, carrots, toddler",5.23,55.5,0.6,0.3
"Babyfood, cereal, Oatmeal, dry, GERBER, SINGLE GRAIN, fortified",73.57,1026.0,10.94,6.42
"Babyfood, cereal, barley, dry fortified",69.4,975.0,13.2,6.6
"Babyfood, cereal, barley, prepared with whole milk",9.94,218.0,3.73,3.26
"Babyfood, cereal, brown rice, dry, instant",85.98,1052.0,8.7,3.0
"Babyfood, cereal, egg yolks and bacon, junior",6.2,205.0,2.5,5.0
"Babyfood, cereal, high protein, prepared with whole milk",11.6,287.5,8.7,3.8
"Babyfood, cereal, high protein, with apple and orange, dry",57.6,969.5,25.4,6.5
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",13.4,290.5,6.9,3.9
"Babyfood, cereal, mixed, dry fortified",78.21,1034.5,6.66,6.66
"Babyfood, cereal, mixed, prepared with whole milk",12.3,249.0,4.14,3.38
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",18.79,217.0,0.71,0.51
"Babyfood, cereal, mixed, with applesauce and bananas, strained",18.38,212.5,0.71,0.51
"Babyfood, cereal, mixed, with bananas, dry",77.1,1013.5,10.7,4.6
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",10.0,224.0,3.82,3.46
"Babyfood, cereal, mixed, with honey, prepared with whole milk",15.9,298.0,5.0,3.6
"Babyfood, cereal, oatmeal, dry fortified",73.48,1021.5,10.99,6.36
"Babyfood, cereal, oatmeal, prepared with whole milk",15.3,300.5,5.0,4.1
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",16.03,197.5,0.89,0.89
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",15.62,193.5,0.89,0.89
"Babyfood, cereal, oatmeal, with bananas, dry",78.07,1035.0,6.67,6.67
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",10.0,224.0,3.82,3.46
"Babyfood, cereal, oatmeal, with honey, dry",69.3,1013.5,13.5,7.0
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",15.3,298.0,5.0,3.9
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",88.5,1008.0,6.6,0.9
"Babyfood, cereal, rice, dry fortified",83.14,1010.0,6.65,2.19
"Babyfood, cereal, rice, prepared with whole milk",10.31,221.0,3.45,3.38
"Babyfood, cereal, rice, with applesauce and bananas, strained",17.1,207.0,1.2,0.4
"Babyfood, cereal, rice, with bananas, dry",79.9,1047.0,8.7,4.2
"Babyfood, cereal, rice, with bananas, prepared with whole milk",10.49,223.0,3.57,3.32
"Babyfood, cereal, rice, with honey, prepared with whole milk",17.1,298.0,3.9,3.3
"Babyfood, cereal, whole wheat, with apples, dry fortified",83.2,1043.0,6.6,4.8
"Babyfood, cereal, with egg yolks, junior",7.1,135.0,1.9,1.8
"Babyfood, cereal, with egg yolks, strained",7.0,132.0,1.9,1.8
"Babyfood, cereal, with eggs, strained",8.0,150.5,2.2,1.5
"Babyfood, cherry cobbler, junior",19.2,202.0,0.3,0.1
"Babyfood, cookie, baby, fruit",73.7,1127.5,6.8,12.6
"Babyfood, cookies",67.1,1122.5,11.8,13.2
"Babyfood, cookies, arrowroot",75.4,1098.0,7.6,10.0
"Babyfood, corn and sweet potatoes, strained",15.23,177.5,1.26,0.28
"Babyfood, crackers, vegetable",66.85,1237.0,8.4,19.6
"Babyfood, dessert, banana pudding, strained",14.14,176.0,1.0,0.8
"Babyfood, dessert, banana yogurt, strained",17.35,203.0,1.1,0.52
"Babyfood, dessert, blueberry yogurt, strained",17.05,198.5,0.5,0.7
"Babyfood, dessert, cherry vanilla pudding, junior",18.4,179.0,0.2,0.2
"Babyfood, dessert, cherry vanilla pudding, strained",17.8,176.5,0.2,0.3
"Babyfood, dessert, custard pudding, vanilla, junior",17.58,223.0,1.76,0.98
"Babyfood, dessert, custard pudding, vanilla, strained",16.0,220.5,1.6,2.0
"Babyfood, dessert, dutch apple, junior",19.18,204.5,0.2,0.16
"Babyfood, dessert, dutch apple, strained",19.74,194.5,0.2,0.4
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",17.2,163.5,0.3,0.0
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",16.0,153.0,0.3,0.0
"Babyfood, dessert, fruit pudding, orange, strained",17.7,207.5,1.1,0.9
"Babyfood, dessert, fruit pudding, pineapple, strained",20.3,210.0,1.3,0.3
"Babyfood, dessert, peach cobbler, junior",18.3,173.5,0.3,0.0
"Babyfood, dessert, peach cobbler, strained",17.8,168.5,0.3,0.0
"Babyfood, dessert, peach melba, junior",16.4,155.5,0.3,0.0
"Babyfood, dessert, peach melba, strained",16.5,155.5,0.2,0.0
"Babyfood, dessert, peach yogurt",17.6,200.5,0.9,0.18
"Babyfood, dessert, tropical fruit, junior",16.4,155.5,0.2,0.0
"Babyfood, dinner, apples and chicken, strained",10.88,168.5,2.16,1.38
"Babyfood, dinner, beef and rice, toddler",8.8,212.5,5.0,2.9
"Babyfood, dinner, beef lasagna, toddler",10.0,199.5,4.2,2.1
"Babyfood, dinner, beef noodle, junior",7.3,148.0,2.5,1.9
"Babyfood, dinner, beef noodle, strained",8.18,163.5,2.44,2.26
"Babyfood, dinner, beef with vegetables",6.36,249.0,2.03,6.93
"Babyfood, dinner, broccoli and chicken, junior",6.34,160.5,3.59,2.48
"Babyfood, dinner, chicken and rice",9.2,133.0,1.6,0.9
"Babyfood, dinner, chicken noodle, junior",7.8,192.5,3.53,3.23
"Babyfood, dinner, chicken noodle, strained",7.81,192.5,3.53,3.22
"Babyfood, dinner, chicken soup, strained",7.2,129.5,1.6,1.7
"Babyfood, dinner, chicken stew, toddler",6.4,202.0,5.2,3.7
"Babyfood, dinner, macaroni and cheese, junior",8.2,158.0,2.6,2.0
"Babyfood, dinner, macaroni and cheese, strained",8.95,173.5,3.14,2.11
"Babyfood, dinner, macaroni and tomato and beef, junior",9.4,153.0,2.5,1.1
"Babyfood, dinner, macaroni and tomato and beef, strained",9.45,158.0,2.36,1.47
"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",11.53,212.5,4.34,1.9
"Babyfood, dinner, mixed vegetable, junior",7.88,88.0,1.01,0.11
"Babyfood, dinner, mixed vegetable, strained",9.5,106.5,1.2,0.1
"Babyfood, dinner, pasta with vegetables",8.4,155.5,1.7,2.1
"Babyfood, dinner, spaghetti and tomato and meat, junior",11.42,176.5,2.57,1.37
"Babyfood, dinner, spaghetti and tomato and meat, toddler",10.8,194.5,5.3,1.0
"Babyfood, dinner, sweet potatoes and chicken, strained",11.04,192.0,2.51,2.17
"Babyfood, dinner, turkey and rice, junior",9.57,145.0,2.37,0.92
"Babyfood, dinner, turkey and rice, strained",7.94,135.0,2.27,1.24
"Babyfood, dinner, turkey, rice, and vegetables, toddler",7.5,154.5,3.8,1.6
"Babyfood, dinner, vegetables and beef, junior",8.84,199.0,2.21,3.6
"Babyfood, dinner, vegetables and beef, strained",8.84,199.0,2.21,3.6
"Babyfood, dinner, vegetables and chicken, junior",8.66,137.5,2.04,1.12
"Babyfood, dinner, vegetables and dumplings and beef, junior",8.0,124.5,2.1,0.8
"Babyfood, dinner, vegetables and dumplings and beef, strained",7.7,124.5,2.0,0.9
"Babyfood, dinner, vegetables and lamb, junior",7.1,132.0,2.1,1.7
"Babyfood, dinner, vegetables and noodles and turkey, junior",7.6,135.0,1.8,1.5
"Babyfood, dinner, vegetables and noodles and turkey, strained",6.8,114.0,1.2,1.2
"Babyfood, dinner, vegetables and turkey, junior",7.55,137.5,1.72,1.74
"Babyfood, dinner, vegetables and turkey, strained",7.62,124.5,2.32,0.9
"Babyfood, dinner, vegetables chicken, strained",8.42,153.0,2.47,1.73
"Babyfood, dinner, vegetables, noodles and chicken, junior",9.1,166.0,1.7,2.2
"Babyfood, dinner, vegetables, noodles and chicken, strained",7.9,163.5,2.0,2.5
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",85.79,892.0,6.19,2.3
"Babyfood, fortified cereal bar, fruit filling",68.63,891.5,5.43,5.3
"Babyfood, fruit and vegetable, apple and sweet potato",15.3,166.5,0.3,0.22
"Babyfood, fruit dessert, mango with tapioca",19.0,181.5,0.3,0.2
"Babyfood, fruit supreme dessert",17.18,188.0,0.5,0.2
"Babyfood, fruit, apple and blueberry, junior",16.6,160.5,0.2,0.2
"Babyfood, fruit, apple and blueberry, strained",16.3,158.0,0.2,0.2
"Babyfood, fruit, apple and raspberry, junior",15.4,150.0,0.2,0.2
"Babyfood, fruit, apple and raspberry, strained",15.6,150.5,0.2,0.2
"Babyfood, fruit, applesauce and apricots, junior",12.4,122.0,0.2,0.2
"Babyfood, fruit, applesauce and apricots, strained",11.64,114.5,0.2,0.2
"Babyfood, fruit, applesauce and cherries, junior",14.1,131.5,0.0,0.0
"Babyfood, fruit, applesauce and cherries, strained",14.1,132.0,0.0,0.0
"Babyfood, fruit, applesauce and pineapple, junior",10.5,101.0,0.1,0.1
"Babyfood, fruit, applesauce and pineapple, strained",10.1,96.0,0.1,0.1
"Babyfood, fruit, applesauce with banana, junior",16.16,171.0,0.37,0.1
"Babyfood, fruit, applesauce, junior",10.3,96.0,0.0,0.0
"Babyfood, fruit, applesauce, strained",10.8,106.5,0.2,0.2
"Babyfood, fruit, apricot with tapioca, junior",17.3,163.5,0.3,0.0
"Babyfood, fruit, apricot with tapioca, strained",16.3,155.0,0.3,0.0
"Babyfood, fruit, banana and strawberry, junior",25.78,283.0,0.71,0.37
"Babyfood, fruit, bananas and pineapple with tapioca, junior",18.4,176.5,0.2,0.1
"Babyfood, fruit, bananas and pineapple with tapioca, strained",17.8,168.5,0.2,0.0
"Babyfood, fruit, bananas with apples and pears, strained",19.31,215.0,0.9,0.22
"Babyfood, fruit, bananas with tapioca, junior",17.8,173.5,0.4,0.2
"Babyfood, fruit, bananas with tapioca, strained",15.3,146.0,0.4,0.1
"Babyfood, fruit, guava and papaya with tapioca, strained",17.0,163.5,0.2,0.1
"Babyfood, fruit, papaya and applesauce with tapioca, strained",18.9,181.5,0.2,0.1
"Babyfood, fruit, peaches, junior",14.48,168.0,0.94,0.33
"Babyfood, fruit, peaches, strained",14.48,168.0,0.94,0.33
